windows,train_rate,trial,model,model_name,time_train,time_predict,time_total,n_clusters,silhouette,calinski,davies,MAE_test,RMSE_test,MAPE_test,EVS_test,R2_test,NSE_test,R_test,WI_test,CI_test
123,0.8,0,WOA-SSNN,mse-elu_elu-0.26-0.01-0.5-1000-0-1000-50,440.915,0.01222467,442.7278,18,0.001,5039.154,0.954,0.119,0.17,52.897,-6.636,-6.641,-6.641,0.803,0.037,0.03
123,0.8,0,WOA-SSNN,mse-elu_elu-0.43-0.01-0.5-1000-0-1000-50,384.2523,0.00856209,385.8854,9,0.117,5763.63,0.765,0.098,0.114,43.379,-0.182,-2.435,-2.435,0.659,0.505,0.333
123,0.8,1,WOA-SSNN,mse-elu_elu-0.26-0.01-0.5-1000-0-1000-50,403.6795,0.00795841,405.9326,16,0.05,6106.377,0.78,0.092,0.122,43.08,-2.59,-2.933,-2.933,0.792,0.07,0.055
123,0.8,1,WOA-SSNN,mse-elu_elu-0.43-0.01-0.5-1000-0-1000-50,425.6795,0.00721359,429.1041,9,0.117,5763.63,0.765,0.051,0.062,24.984,0.253,-0.015,-0.015,0.789,0.52,0.41
123,0.8,2,WOA-SSNN,mse-elu_elu-0.26-0.01-0.5-1000-0-1000-50,423.3993,0.0062983,424.8929,16,0.05,6106.377,0.78,0.085,0.099,37.415,0.126,-1.582,-1.582,0.732,0.497,0.364
123,0.8,2,WOA-SSNN,mse-elu_elu-0.43-0.01-0.5-1000-0-1000-50,379.8536,0.01049924,381.3242,9,0.117,5763.63,0.765,0.085,0.096,38.318,0.242,-1.444,-1.444,0.742,0.619,0.459
123,0.8,3,WOA-SSNN,mse-elu_elu-0.26-0.01-0.5-1000-0-1000-50,438.7366,0.01220655,441.1053,16,0.05,6106.377,0.78,0.096,0.11,43.754,-0.478,-2.222,-2.222,0.709,0.592,0.42
123,0.8,3,WOA-SSNN,mse-elu_elu-0.43-0.01-0.5-1000-0-1000-50,380.1813,0.01077962,381.7919,9,0.117,5763.63,0.765,0.048,0.069,19.486,0.088,-0.263,-0.263,0.575,0.57,0.328
123,0.8,4,WOA-SSNN,mse-elu_elu-0.26-0.01-0.5-1000-0-1000-50,401.3213,0.00751138,402.7322,16,0.05,6106.377,0.78,0.063,0.098,26.589,-1.314,-1.513,-1.513,0.641,0.148,0.095
123,0.8,4,WOA-SSNN,mse-elu_elu-0.43-0.01-0.5-1000-0-1000-50,357.3362,0.0079298,358.6627,9,0.117,5763.63,0.765,0.037,0.055,16.658,0.212,0.203,0.203,0.789,0.826,0.652
