windows,train_rate,trial,model,model_name,time_train,time_predict,time_total,n_clusters,silhouette,calinski,davies,MAE_train,RMSE_train,MAPE_train,EVS_train,R2_train,NSE_train,R_train,WI_train,CI_train,MAE_test,RMSE_test,MAPE_test,EVS_test,R2_test,NSE_test,R_test,WI_test,CI_test
1,0.8,0,GA-SSNN,mse-elu_elu-0.15-0.01-0.5-1000-0-1000-50-0.85-0.025,467.4535,0.01338911,469.3279,8,0.142,13792.417,0.526,0.055999999999999994,0.11199999999999999,22.991999999999997,0.914,0.9079999999999999,0.9079999999999999,0.9590000000000001,0.976,0.9359999999999999,0.03,0.04,14.828,0.693,0.581,0.581,0.866,0.873,0.7559999999999999
1,0.8,0,GA-SSNN,mse-elu_elu-0.25-0.01-0.5-1000-0-1000-50-0.85-0.025,451.2214,0.00922608,453.0326,6,0.21899999999999997,11535.056,0.677,0.040999999999999995,0.11199999999999999,12.297,0.9109999999999999,0.909,0.909,0.96,0.9740000000000001,0.935,0.024,0.037000000000000005,10.133,0.698,0.636,0.636,0.875,0.897,0.785
1,0.8,0,OCRO-SSNN,"mse-elu_elu-0.15-0.01-0.5-1000-0-1000-50-0.4-0.9-0.1-0.1-0.1-(0.02, 0.2)-0.1",269.9493,0.00592661,271.6869,8,0.14,13858.41,0.524,0.043,0.11800000000000001,12.842,0.898,0.898,0.898,0.95,0.973,0.924,0.021,0.034,9.499,0.695,0.693,0.693,0.875,0.9059999999999999,0.7929999999999999
1,0.8,0,OCRO-SSNN,"mse-elu_elu-0.25-0.01-0.5-1000-0-1000-50-0.4-0.9-0.1-0.1-0.1-(0.02, 0.2)-0.1",228.58900000000003,0.01309705,229.9549,6,0.214,11624.841,0.677,0.05,0.11800000000000001,17.469,0.899,0.899,0.899,0.953,0.973,0.927,0.032,0.047,13.200999999999999,0.521,0.406,0.406,0.79,0.809,0.639
1,0.8,0,PSO-SSNN,mse-elu_elu-0.15-0.01-0.5-1000-0-1000-50-1.2-1.2-0.4-0.9,503.0077,0.01066494,505.6169,8,0.141,13804.686000000002,0.525,0.047,0.115,16.04,0.903,0.903,0.903,0.955,0.9740000000000001,0.93,0.027999999999999997,0.042,11.751,0.602,0.532,0.532,0.83,0.861,0.715
1,0.8,0,PSO-SSNN,mse-elu_elu-0.25-0.01-0.5-1000-0-1000-50-1.2-1.2-0.4-0.9,461.38599999999997,0.01101804,462.8735,6,0.213,11620.741000000002,0.677,0.04,0.11,12.222999999999999,0.912,0.912,0.912,0.9590000000000001,0.976,0.9359999999999999,0.02,0.034,8.599,0.698,0.6859999999999999,0.6859999999999999,0.8690000000000001,0.9,0.782
1,0.8,0,WOA-SSNN,mse-elu_elu-0.15-0.01-0.5-1000-0-1000-50,472.9078,0.00630307,474.5435,8,0.141,13805.457,0.525,0.087,0.316,22.068,0.276,0.27399999999999997,0.27399999999999997,0.9390000000000001,0.898,0.843,0.037000000000000005,0.048,16.682000000000002,0.596,0.382,0.382,0.875,0.8690000000000001,0.76
1,0.8,0,WOA-SSNN,mse-elu_elu-0.25-0.01-0.5-1000-0-1000-50,489.5634,0.01147103,491.2198,6,0.214,11625.525,0.677,0.065,0.149,24.129,0.838,0.838,0.838,0.924,0.956,0.883,0.047,0.066,19.902,0.16399999999999998,-0.168,-0.168,0.785,0.629,0.494
1,0.8,0,OTWO-SSNN,mse-elu_elu-0.15-0.01-0.5-1000-0-1000-50,626.0282,0.00823903,627.389,8,0.141,13804.686000000002,0.525,0.04,0.10800000000000001,12.375,0.914,0.914,0.914,0.9590000000000001,0.977,0.937,0.02,0.034,8.941,0.696,0.696,0.696,0.8759999999999999,0.9129999999999999,0.8
1,0.8,0,OTWO-SSNN,mse-elu_elu-0.25-0.01-0.5-1000-0-1000-50,505.5503,0.01161885,506.2674,6,0.214,11624.841,0.677,0.039,0.107,11.998,0.917,0.917,0.917,0.961,0.978,0.94,0.02,0.034,8.552,0.6970000000000001,0.6890000000000001,0.6890000000000001,0.87,0.9079999999999999,0.79
1,0.8,0,EO-SSNN,mse-elu_elu-0.15-0.01-0.5-1000-0-1000-50,467.4535,0.01001358,469.1994,8,0.141,13803.913999999999,0.525,0.04,0.106,12.265999999999998,0.9179999999999999,0.9179999999999999,0.9179999999999999,0.961,0.978,0.94,0.02,0.034,8.911,0.6859999999999999,0.6859999999999999,0.6859999999999999,0.875,0.914,0.8
1,0.8,0,EO-SSNN,mse-elu_elu-0.25-0.01-0.5-1000-0-1000-50,463.0932,0.00684857,464.7796,6,0.21899999999999997,11535.056,0.677,0.04,0.107,12.249,0.9159999999999999,0.9159999999999999,0.9159999999999999,0.96,0.978,0.9390000000000001,0.02,0.034,8.613,0.6990000000000001,0.698,0.698,0.873,0.9109999999999999,0.795
1,0.8,0,TLO-SSNN,mse-elu_elu-0.15-0.01-0.5-1000-0-1000-50,766.1983,0.00729656,768.0391,8,0.141,13804.686000000002,0.525,0.039,0.107,11.763,0.917,0.917,0.917,0.961,0.978,0.94,0.021,0.035,8.868,0.691,0.6779999999999999,0.6779999999999999,0.875,0.9109999999999999,0.797
1,0.8,0,TLO-SSNN,mse-elu_elu-0.25-0.01-0.5-1000-0-1000-50,724.5313,0.01098752,725.8063,6,0.21899999999999997,11535.056,0.677,0.039,0.106,12.244000000000002,0.9179999999999999,0.9179999999999999,0.9179999999999999,0.961,0.978,0.94,0.02,0.034,8.568,0.6970000000000001,0.6940000000000001,0.6940000000000001,0.871,0.91,0.7929999999999999
1,0.8,0,SMA-SSNN,mse-elu_elu-0.15-0.01-0.5-1000-0-1000-50-0.03,462.5826,0.00992155,463.4063,8,0.141,13805.457,0.525,0.040999999999999995,0.10800000000000001,12.706,0.915,0.915,0.915,0.96,0.977,0.938,0.021,0.035,9.454,0.679,0.6779999999999999,0.6779999999999999,0.8759999999999999,0.9129999999999999,0.8
1,0.8,0,SMA-SSNN,mse-elu_elu-0.25-0.01-0.5-1000-0-1000-50-0.03,463.3866,0.01191473,465.1135,6,0.214,11625.525,0.677,0.040999999999999995,0.10800000000000001,12.687999999999999,0.915,0.915,0.915,0.96,0.977,0.938,0.021,0.035,9.482999999999999,0.679,0.6779999999999999,0.6779999999999999,0.8759999999999999,0.9129999999999999,0.8
1,0.8,0,SCA-SSNN,mse-elu_elu-0.15-0.01-0.5-1000-0-1000-50,466.8801,0.008098600000000001,468.2638,8,0.142,13795.515,0.526,0.278,0.359,131.37,0.615,0.06,0.06,0.835,0.669,0.5589999999999999,0.242,0.24600000000000002,117.45700000000001,0.585,-14.936,-14.936,0.873,0.287,0.251
1,0.8,0,SCA-SSNN,mse-elu_elu-0.25-0.01-0.5-1000-0-1000-50,470.6322,0.01007032,472.5721,6,0.214,11624.841,0.677,0.177,0.297,62.881,0.58,0.35700000000000004,0.35700000000000004,0.7759999999999999,0.784,0.608,0.158,0.172,70.146,-0.21600000000000003,-6.771,-6.771,0.6409999999999999,0.28800000000000003,0.185
1,0.8,0,HS-SSNN,mse-elu_elu-0.15-0.01-0.5-1000-0-1000-50-20-0.95-0.05,220.5042,0.00918746,222.3836,8,0.141,13803.913999999999,0.525,0.046,0.128,13.987,0.88,0.88,0.88,0.9420000000000001,0.968,0.912,0.024,0.038,10.484000000000002,0.627,0.625,0.625,0.8759999999999999,0.91,0.797
1,0.8,0,HS-SSNN,mse-elu_elu-0.25-0.01-0.5-1000-0-1000-50-20-0.95-0.05,229.9326,0.00897241,231.6555,6,0.218,11530.951000000001,0.677,0.042,0.111,12.97,0.91,0.91,0.91,0.9570000000000001,0.976,0.934,0.022000000000000002,0.037000000000000005,9.599,0.6459999999999999,0.6459999999999999,0.6459999999999999,0.875,0.9129999999999999,0.799
1,0.8,0,AEO-SSNN,mse-elu_elu-0.15-0.01-0.5-1000-0-1000-50,695.6757,0.01066637,696.8151,8,0.141,13804.686000000002,0.525,0.039,0.106,12.177,0.919,0.919,0.919,0.961,0.978,0.94,0.02,0.034,8.671,0.6940000000000001,0.693,0.693,0.8740000000000001,0.9129999999999999,0.7979999999999999
1,0.8,0,AEO-SSNN,mse-elu_elu-0.25-0.01-0.5-1000-0-1000-50,661.227,0.00716782,663.7465,6,0.213,11620.058,0.677,0.039,0.106,12.208,0.9179999999999999,0.9179999999999999,0.9179999999999999,0.961,0.978,0.94,0.02,0.034,8.543,0.6970000000000001,0.691,0.691,0.87,0.9079999999999999,0.79
1,0.8,0,IAEO-SSNN,mse-elu_elu-0.15-0.01-0.5-1000-0-1000-50,710.1210000000001,0.0099988,711.415,8,0.141,13804.686000000002,0.525,0.04,0.10800000000000001,12.34,0.9159999999999999,0.9159999999999999,0.9159999999999999,0.96,0.978,0.9390000000000001,0.02,0.034,8.97,0.6920000000000001,0.6920000000000001,0.6920000000000001,0.8759999999999999,0.9129999999999999,0.8
