windows,train_rate,trial,model,model_name,time_train,time_predict,time_total,n_clusters,silhouette,calinski,davies,MAE_train,RMSE_train,MAPE_train,EVS_train,R2_train,NSE_train,R_train,WI_train,CI_train,MAE_test,RMSE_test,MAPE_test,EVS_test,R2_test,NSE_test,R_test,WI_test,CI_test
1,0.8,0,GA-SSNN,mse-elu_elu-0.15-0.01-0.5-1000-0-1000-50-0.85-0.025,491.8226,0.01067448,492.6302,7,0.32899999999999996,10233.642,0.523,0.644,1.499,69.318,0.645,0.6409999999999999,0.6409999999999999,0.8170000000000001,0.8690000000000001,0.71,0.396,0.5379999999999999,54.215,0.14800000000000002,-0.067,-0.067,0.59,0.601,0.355
1,0.8,0,GA-SSNN,mse-elu_elu-0.25-0.01-0.5-1000-0-1000-50-0.85-0.025,481.9813,0.01032066,483.0001,6,0.359,8954.844000000001,0.623,0.606,1.493,61.713,0.645,0.643,0.643,0.813,0.88,0.715,0.35,0.512,46.527,0.127,0.033,0.033,0.5660000000000001,0.604,0.342
1,0.8,0,OCRO-SSNN,"mse-elu_elu-0.15-0.01-0.5-1000-0-1000-50-0.4-0.9-0.1-0.1-0.1-(0.02, 0.2)-0.1",245.1195,0.0087781,246.1304,7,0.32899999999999996,10233.642,0.523,0.56,1.5,50.132,0.64,0.64,0.64,0.8109999999999999,0.879,0.713,0.301,0.495,36.019,0.098,0.098,0.098,0.529,0.598,0.316
1,0.8,0,OCRO-SSNN,"mse-elu_elu-0.25-0.01-0.5-1000-0-1000-50-0.4-0.9-0.1-0.1-0.1-(0.02, 0.2)-0.1",250.2454,0.00811982,252.1005,6,0.359,8953.492,0.623,0.565,1.515,50.723,0.633,0.633,0.633,0.8059999999999999,0.8759999999999999,0.706,0.305,0.493,36.889,0.109,0.105,0.105,0.5489999999999999,0.608,0.33399999999999996
1,0.8,0,PSO-SSNN,mse-elu_elu-0.15-0.01-0.5-1000-0-1000-50-1.2-1.2-0.4-0.9,476.5056,0.03681612,477.5454,7,0.32899999999999996,10233.642,0.523,0.561,1.4809999999999999,51.86,0.649,0.649,0.649,0.816,0.8809999999999999,0.7190000000000001,0.304,0.488,37.47,0.128,0.124,0.124,0.5329999999999999,0.588,0.313
1,0.8,0,PSO-SSNN,mse-elu_elu-0.25-0.01-0.5-1000-0-1000-50-1.2-1.2-0.4-0.9,446.3666,0.00835061,447.4365,6,0.359,8954.844000000001,0.623,0.568,1.504,49.345,0.638,0.638,0.638,0.81,0.88,0.713,0.311,0.506,36.397,0.057,0.055,0.055,0.569,0.634,0.361
1,0.8,0,WOA-SSNN,mse-elu_elu-0.15-0.01-0.5-1000-0-1000-50,444.4174,0.00831699,445.32099999999997,7,0.32899999999999996,10233.642,0.523,0.662,1.7790000000000001,65.97800000000001,0.494,0.494,0.494,0.7879999999999999,0.87,0.6859999999999999,0.387,0.611,46.742,-0.349,-0.377,-0.377,0.494,0.402,0.19899999999999998
1,0.8,0,WOA-SSNN,mse-elu_elu-0.25-0.01-0.5-1000-0-1000-50,427.2723,0.00882363,428.9436,6,0.359,8954.168,0.623,0.6579999999999999,1.757,67.73899999999999,0.506,0.506,0.506,0.7440000000000001,0.845,0.629,0.361,0.531,48.854,-0.022000000000000002,-0.039,-0.039,0.493,0.23800000000000002,0.11699999999999999
1,0.8,0,OTWO-SSNN,mse-elu_elu-0.15-0.01-0.5-1000-0-1000-50,923.0961,0.01797605,923.6847,7,0.32899999999999996,10233.642,0.523,0.563,1.4580000000000002,52.215,0.66,0.66,0.66,0.823,0.885,0.728,0.308,0.495,38.044000000000004,0.106,0.098,0.098,0.544,0.605,0.32899999999999996
1,0.8,0,OTWO-SSNN,mse-elu_elu-0.25-0.01-0.5-1000-0-1000-50,923.0804,0.02042484,924.5983,6,0.359,8956.195,0.623,0.574,1.484,51.504,0.648,0.648,0.648,0.816,0.88,0.718,0.32,0.503,38.608000000000004,0.081,0.067,0.067,0.586,0.639,0.374
1,0.8,0,EO-SSNN,mse-elu_elu-0.15-0.01-0.5-1000-0-1000-50,455.1624,0.0088377,455.8153,7,0.32899999999999996,10233.642,0.523,0.568,1.485,51.647,0.647,0.647,0.647,0.815,0.8809999999999999,0.718,0.316,0.489,38.753,0.133,0.11800000000000001,0.11800000000000001,0.593,0.631,0.374
1,0.8,0,EO-SSNN,mse-elu_elu-0.25-0.01-0.5-1000-0-1000-50,455.1596,0.01147175,456.6245,6,0.359,8953.492,0.623,0.573,1.484,51.437,0.648,0.648,0.648,0.816,0.8809999999999999,0.7190000000000001,0.321,0.5,38.797,0.094,0.08,0.08,0.595,0.6409999999999999,0.381
1,0.8,0,TLO-SSNN,mse-elu_elu-0.15-0.01-0.5-1000-0-1000-50,841.9935,0.00971746,842.6227,7,0.32899999999999996,10233.642,0.523,0.551,1.446,47.56399999999999,0.6659999999999999,0.6659999999999999,0.6659999999999999,0.8270000000000001,0.8859999999999999,0.733,0.305,0.493,35.326,0.10400000000000001,0.10400000000000001,0.10400000000000001,0.5760000000000001,0.632,0.364
1,0.8,0,TLO-SSNN,mse-elu_elu-0.25-0.01-0.5-1000-0-1000-50,912.28,0.01238775,913.9763,6,0.36200000000000004,8968.381,0.623,0.5660000000000001,1.483,51.501999999999995,0.648,0.648,0.648,0.815,0.8809999999999999,0.718,0.31,0.49200000000000005,37.891,0.115,0.107,0.107,0.563,0.616,0.34700000000000003
1,0.8,0,SMA-SSNN,mse-elu_elu-0.15-0.01-0.5-1000-0-1000-50-0.03,510.4989,0.00626111,511.0846,7,0.32899999999999996,10233.642,0.523,0.604,1.5319999999999998,59.001999999999995,0.625,0.624,0.624,0.8059999999999999,0.871,0.7020000000000001,0.341,0.542,41.67,-0.07,-0.083,-0.083,0.478,0.36200000000000004,0.17300000000000001
1,0.8,0,SMA-SSNN,mse-elu_elu-0.25-0.01-0.5-1000-0-1000-50-0.03,484.2413,0.01124239,485.6832,6,0.349,8724.356,0.529,0.5720000000000001,1.494,51.06,0.643,0.643,0.643,0.813,0.879,0.715,0.318,0.496,38.344,0.105,0.09300000000000001,0.09300000000000001,0.593,0.639,0.379
1,0.8,0,SCA-SSNN,mse-elu_elu-0.15-0.01-0.5-1000-0-1000-50,458.569,0.00778604,459.3033,7,0.32899999999999996,10233.642,0.523,1.365,4.262,142.408,-1.895,-1.906,-1.906,0.763,0.022000000000000002,0.017,0.887,0.9640000000000001,124.62700000000001,-0.009000000000000001,-2.425,-2.425,0.5770000000000001,0.402,0.23199999999999998
1,0.8,0,SCA-SSNN,mse-elu_elu-0.25-0.01-0.5-1000-0-1000-50,431.2504,0.00896358,432.9172,6,0.359,8954.844000000001,0.623,8.796,9.014,1240.007,-0.057999999999999996,-11.995999999999999,-11.995999999999999,0.73,0.209,0.153,8.805,8.834,1148.113,-0.8420000000000001,-286.464,-286.464,0.6409999999999999,0.075,0.048
1,0.8,0,HS-SSNN,mse-elu_elu-0.15-0.01-0.5-1000-0-1000-50-20-0.95-0.05,215.5589,0.01655507,216.5615,7,0.32899999999999996,10233.642,0.523,0.59,1.636,51.037,0.5720000000000001,0.5720000000000001,0.5720000000000001,0.77,0.853,0.657,0.327,0.503,38.954,0.08,0.068,0.068,0.61,0.652,0.39799999999999996
1,0.8,0,HS-SSNN,mse-elu_elu-0.25-0.01-0.5-1000-0-1000-50-20-0.95-0.05,232.9341,0.01158452,234.8657,6,0.349,8726.53,0.529,0.584,1.548,51.843999999999994,0.617,0.617,0.617,0.797,0.87,0.693,0.33,0.498,39.983000000000004,0.106,0.085,0.085,0.62,0.6509999999999999,0.40399999999999997
1,0.8,0,AEO-SSNN,mse-elu_elu-0.15-0.01-0.5-1000-0-1000-50,752.0153,0.01453543,752.9503,7,0.32899999999999996,10233.642,0.523,0.5589999999999999,1.439,50.913999999999994,0.669,0.669,0.669,0.8290000000000001,0.8909999999999999,0.7390000000000001,0.311,0.502,37.461999999999996,0.078,0.071,0.071,0.5589999999999999,0.624,0.349
1,0.8,0,AEO-SSNN,mse-elu_elu-0.25-0.01-0.5-1000-0-1000-50,762.7039,0.01204276,764.9751,6,0.359,8954.844000000001,0.623,0.569,1.483,51.368,0.648,0.648,0.648,0.816,0.8809999999999999,0.7190000000000001,0.314,0.49700000000000005,38.181,0.10300000000000001,0.091,0.091,0.578,0.629,0.364
