Epoch,mse
1,0.09292761
2,0.09292761
3,0.09292761
4,0.09292761
5,0.09292761
6,0.09292761
7,0.09292761
8,0.09292761
9,0.09292761
10,0.09292761
11,0.09292761
12,0.09292761
13,0.09292761
14,0.09292761
15,0.09292761
16,0.09292761
17,0.09292761
18,0.09292761
19,0.09292761
20,0.09292761
21,0.09292761
22,0.09292761
23,0.09292761
24,0.09292761
25,0.09292761
26,0.09292761
27,0.09292761
28,0.09292761
29,0.09292761
30,0.09292761
31,0.09292761
32,0.09292761
33,0.09292761
34,0.09292761
35,0.09292761
36,0.09292761
37,0.09292761
38,0.09292761
39,0.09292761
40,0.09292761
41,0.09292761
42,0.09292761
43,0.09292761
44,0.09292761
45,0.09292761
46,0.09292761
47,0.09292761
48,0.09292761
49,0.09292761
50,0.09292761
51,0.09292761
52,0.09292761
53,0.09292761
54,0.09292761
55,0.09292761
56,0.09292761
57,0.09292761
58,0.09292761
59,0.09292761
60,0.09292761
61,0.09292761
62,0.09292761
63,0.09292761
64,0.09292761
65,0.09292761
66,0.09292761
67,0.09292761
68,0.09292761
69,0.09292761
70,0.09292761
71,0.09292761
72,0.09292761
73,0.09292761
74,0.09292761
75,0.09292761
76,0.09292761
77,0.09292761
78,0.09292761
79,0.09292761
80,0.09292761
81,0.09292761
82,0.09292761
83,0.09292761
84,0.09292761
85,0.09292761
86,0.09292761
87,0.09292761
88,0.09292761
89,0.09292761
90,0.09292761
91,0.09292761
92,0.09292761
93,0.09292761
94,0.09292761
95,0.09292761
96,0.09292761
97,0.09292761
98,0.09292761
99,0.09292761
100,0.09292761
101,0.09292761
102,0.09292761
103,0.09292761
104,0.09292761
105,0.09292761
106,0.09292761
107,0.09292761
108,0.09292761
109,0.09292761
110,0.09292761
111,0.09292761
112,0.09292761
113,0.09292761
114,0.09292761
115,0.09292761
116,0.09292761
117,0.09292761
118,0.09292761
119,0.09292761
120,0.09292761
121,0.09292761
122,0.09292761
123,0.09292761
124,0.09292761
125,0.09292761
126,0.09292761
127,0.09292761
128,0.09292761
129,0.09292761
130,0.09292761
131,0.09292761
132,0.09292761
133,0.09292761
134,0.09292761
135,0.09292761
136,0.09292761
137,0.09292761
138,0.09292761
139,0.09292761
140,0.09292761
141,0.09292761
142,0.09292761
143,0.09292761
144,0.09292761
145,0.09292761
146,0.09292761
147,0.09292761
148,0.09292761
149,0.09292761
150,0.09292761
151,0.09292761
152,0.09292761
153,0.09292761
154,0.09292761
155,0.09292761
156,0.09292761
157,0.09292761
158,0.09292761
159,0.09292761
160,0.09292761
161,0.09292761
162,0.09292761
163,0.09292761
164,0.09292761
165,0.09292761
166,0.09292761
167,0.09292761
168,0.09292761
169,0.09292761
170,0.09292761
171,0.09292761
172,0.09292761
173,0.09292761
174,0.09292761
175,0.09292761
176,0.09292761
177,0.09292761
178,0.09292761
179,0.09292761
180,0.09292761
181,0.09292761
182,0.09292761
183,0.09292761
184,0.09292761
185,0.09292761
186,0.09292761
187,0.09292761
188,0.09292761
189,0.09292761
190,0.09292761
191,0.09292761
192,0.09292761
193,0.09292761
194,0.09292761
195,0.09292761
196,0.09292761
197,0.09292761
198,0.09292761
199,0.09292761
200,0.09292761
201,0.09292761
202,0.09292761
203,0.09292761
204,0.09292761
205,0.09292761
206,0.09292761
207,0.09292761
208,0.09292761
209,0.09292761
210,0.09292761
211,0.09292761
212,0.09292761
213,0.09292761
214,0.09292761
215,0.09292761
216,0.09292761
217,0.09292761
218,0.09292761
219,0.09292761
220,0.09292761
221,0.09292761
222,0.09292761
223,0.09292761
224,0.09292761
225,0.09292761
226,0.09292761
227,0.09292761
228,0.09292761
229,0.09292761
230,0.09292761
231,0.09292761
232,0.09292761
233,0.09292761
234,0.09292761
235,0.09292761
236,0.09292761
237,0.09292761
238,0.09292761
239,0.09292761
240,0.09292761
241,0.09292761
242,0.09292761
243,0.09292761
244,0.09292761
245,0.09292761
246,0.09292761
247,0.09292761
248,0.09292761
249,0.09292761
250,0.09292761
251,0.09292761
252,0.09292761
253,0.09292761
254,0.09292761
255,0.09292761
256,0.09292761
257,0.09292761
258,0.09292761
259,0.09292761
260,0.09292761
261,0.09292761
262,0.09292761
263,0.09292761
264,0.09292761
265,0.09292761
266,0.09292761
267,0.09292761
268,0.09292761
269,0.09292761
270,0.09292761
271,0.09292761
272,0.09292761
273,0.09292761
274,0.09292761
275,0.09292761
276,0.09292761
277,0.09292761
278,0.09292761
279,0.09292761
280,0.09292761
281,0.09292761
282,0.09292761
283,0.09292761
284,0.09292761
285,0.09292761
286,0.09292761
287,0.09292761
288,0.09292761
289,0.09292761
290,0.09292761
291,0.09292761
292,0.09292761
293,0.09292761
294,0.09292761
295,0.09292761
296,0.09292761
297,0.09292761
298,0.09292761
299,0.09292761
300,0.09292761
301,0.09292761
302,0.09292761
303,0.09292761
304,0.09292761
305,0.09292761
306,0.09292761
307,0.09292761
308,0.09292761
309,0.09292761
310,0.09292761
311,0.09292761
312,0.09292761
313,0.09292761
314,0.09292761
315,0.09292761
316,0.09292761
317,0.09292761
318,0.09292761
319,0.09292761
320,0.09292761
321,0.09292761
322,0.09292761
323,0.09292761
324,0.09292761
325,0.09292761
326,0.09292761
327,0.09292761
328,0.09292761
329,0.09292761
330,0.09292761
331,0.09292761
332,0.09292761
333,0.09292761
334,0.09292761
335,0.09292761
336,0.09292761
337,0.09292761
338,0.09292761
339,0.09292761
340,0.09292761
341,0.09292761
342,0.09292761
343,0.09292761
344,0.09292761
345,0.09292761
346,0.09292761
347,0.09292761
348,0.09292761
349,0.09292761
350,0.09292761
351,0.09292761
352,0.09292761
353,0.09292761
354,0.09292761
355,0.09292761
356,0.09292761
357,0.09292761
358,0.09292761
359,0.09292761
360,0.09292761
361,0.09292761
362,0.09292761
363,0.09292761
364,0.09292761
365,0.09292761
366,0.09292761
367,0.09292761
368,0.09292761
369,0.09292761
370,0.09292761
371,0.09292761
372,0.09292761
373,0.09292761
374,0.09292761
375,0.09292761
376,0.09292761
377,0.09292761
378,0.09292761
379,0.09292761
380,0.09292761
381,0.09292761
382,0.09292761
383,0.09292761
384,0.09292761
385,0.09292761
386,0.09292761
387,0.09292761
388,0.09292761
389,0.09292761
390,0.09292761
391,0.09292761
392,0.09292761
393,0.09292761
394,0.09292761
395,0.09292761
396,0.09292761
397,0.09292761
398,0.09292761
399,0.09292761
400,0.09292761
401,0.09292761
402,0.09292761
403,0.09292761
404,0.09292761
405,0.09292761
406,0.09292761
407,0.09292761
408,0.09292761
409,0.09292761
410,0.09292761
411,0.09292761
412,0.09292761
413,0.09292761
414,0.09292761
415,0.09292761
416,0.09292761
417,0.09292761
418,0.09292761
419,0.09292761
420,0.09292761
421,0.09292761
422,0.09292761
423,0.09292761
424,0.09292761
425,0.09292761
426,0.09292761
427,0.09292761
428,0.09292761
429,0.09292761
430,0.09292761
431,0.09292761
432,0.09292761
433,0.09292761
434,0.09292761
435,0.09292761
436,0.09292761
437,0.09292761
438,0.09292761
439,0.09292761
440,0.09292761
441,0.09292761
442,0.09292761
443,0.09292761
444,0.09292761
445,0.09292761
446,0.09292761
447,0.09292761
448,0.09292761
449,0.09292761
450,0.09292761
451,0.09292761
452,0.09292761
453,0.09292761
454,0.09292761
455,0.09292761
